titulo,valor,data_pagamento,percentual,data_coleta,tipo_evento
15/08/2024,3813030.77,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,35588341.32,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2026,37531370.65,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,53921479.08,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,8970559.51,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,13975927.57,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1916400.73,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2027,26520854.34,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,5832974.83,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,661544.19,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2029,25727982.88,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,11735309.48,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1877710.54,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2027,21889785.24,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,7889042.27,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,5210050.42,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,45131632.71,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4486223.7,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
